GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GestiBiblioteca,es.uclm.GestiBiblioteca,ServletInitializer,12,0,0,0,2,0,2,0,2,0
GestiBiblioteca,es.uclm.GestiBiblioteca,GestiBibliotecaApplication,8,0,0,0,3,0,2,0,2,0
GestiBiblioteca,es.uclm.GestiBiblioteca.presentation,TitulosForm,3,0,0,0,1,0,1,0,1,0
GestiBiblioteca,es.uclm.GestiBiblioteca.presentation,PrestamosForm,3,0,0,0,1,0,1,0,1,0
GestiBiblioteca,es.uclm.GestiBiblioteca.business.controller,GestorTitulos,110,345,4,18,30,78,16,16,13,8
GestiBiblioteca,es.uclm.GestiBiblioteca.business.controller,GestorUsuarios,0,46,0,0,0,12,0,5,0,5
GestiBiblioteca,es.uclm.GestiBiblioteca.business.controller,GestorPrestamos,84,217,2,16,21,52,8,12,6,5
GestiBiblioteca,es.uclm.GestiBiblioteca.services,TituloService,35,316,6,38,8,67,5,23,0,6
GestiBiblioteca,es.uclm.GestiBiblioteca.services,PrestamoService,7,124,4,14,2,29,4,9,0,4
GestiBiblioteca,es.uclm.GestiBiblioteca.services,PenalizacionService,0,49,0,8,0,10,0,7,0,3
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Autor,33,32,0,0,10,11,7,4,7,4
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Reserva,51,15,0,0,18,6,12,1,12,1
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Titulo,19,104,0,0,9,30,5,12,5,12
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Revista,3,9,0,0,2,2,1,1,1,1
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Usuario,48,53,0,0,15,16,7,8,7,8
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Libro,3,9,0,0,2,2,1,1,1,1
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Ejemplar,24,40,0,0,5,15,4,7,4,7
GestiBiblioteca,es.uclm.GestiBiblioteca.business.entities,Prestamo,60,35,0,0,17,16,7,10,7,10
